codmes;exp_PBI;ind_prec_cons_lima_met_alim_ener;ind_prec_inf_suby_bienes;ind_prec_inm;prod_ener_lima;var_porc_demanda_interna
Ene-17;0.04;85.673937;0.173364;105.52;1923.560965;0.553117
Feb-17;0.038;86.130716;0.196265;105.52;1644.130032;-3.592399
Mar-17;0.038;87.714504;0.237799;105.52;1975.653286;1.869532
Abr-17;0.039;87.145208;0.135524;103.85;1738.640068;0.488513
May-17;0.037;86.277827;0.210688;103.85;1800.644194;2.940182
Jun-17;0.0365;85.927443;0.12752;103.85;1936.619154;-1.85183
Jul-17;0.035;86.129389;0.099314;105.72;2124.407534;5.499054
Ago-17;0.038;86.996571;0.097709;105.72;2297.255864;1.722383
sept-17;0.036;86.974793;0.04055;105.72;2078.817167;-0.741148
Oct-17;0.038;86.075884;0.084208;104.8;2172.203789;7.177735
Nov-17;0.04;85.679062;0.118757;104.8;2092.928217;3.028898
Dic-17;0.038;85.675432;-0.020442;104.8;1940.786982;2.917577
Ene-18;0.04;86.042373;0.029467;104.73;1686.363759;3.681311
Feb-18;0.0376;86.37247;0.117081;104.73;1485.068615;6.882936
Mar-18;0.038;86.425897;0.11351;104.73;1930.133498;1.858511
Abr-18;0.038;86.156163;0.177813;103.62;1657.064077;9.001397
May-18;0.038;86.02005;0.263742;103.62;1923.699166;7.515715
Jun-18;0.04;86.36498;0.605407;103.62;2209.304672;2.165562
Jul-18;0.04;86.807463;0.295179;106.16;2315.415288;1.506871
Ago-18;0.04;86.962403;0.103092;106.16;2297.13731;3.468458
sept-18;0.04;87.280413;0.123563;106.16;2497.461948;4.247206
Oct-18;0.0395;87.377011;0.099473;106.41;2122.581662;3.828332
Nov-18;0.039;87.54089;0.110047;106.41;1845.615985;1.809876
Dic-18;0.039;87.534374;0.139788;106.41;2215.642324;3.176834
Ene-19;0.04;87.60286;0.080862;107.42;2049.462642;1.046442
Feb-19;0.04;87.715414;0.159169;107.42;1726.545192;1.223699
Mar-19;0.04;88.052681;0.291711;107.42;2034.954853;2.913956
Abr-19;0.04;88.391995;0.043279;108.53;1752.065192;-0.577133
May-19;0.038;88.528192;0.113018;108.53;2032.293248;2.373556
Jun-19;0.037;88.338316;0.077123;108.53;2363.73412;3.866708
Jul-19;0.035;88.601792;0.276525;108.26;2542.692739;3.789905
Ago-19;0.0325;88.573271;0.196656;108.26;2696.880196;4.427649
sept-19;0.031;88.578984;0.119369;108.26;2628.889065;3.472664
Oct-19;0.03;88.554458;0.075783;105.74;2514.341321;1.026248
Nov-19;0.03;88.724041;0.061901;105.74;2153.961908;2.977231
Dic-19;0.0315;88.787127;0.038729;105.74;1922.765592;0.409149
Ene-20;0.034;88.820073;0.080521;107.09;1852.887892;5.337616
Feb-20;0.033;88.938732;0.195745;107.09;1850.775319;3.54408
Mar-20;0.05;89.749269;0.210802;107.09;1451.278424;-16.395628
Abr-20;0.05;89.760568;0.173464;108.34;802.602119;-34.382514
May-20;0.06;90.025533;0.288579;108.34;1053.401808;-29.834806
Jun-20;0.08;89.430966;0.181853;108.34;1841.376381;-16.415852
Jul-20;0.07;90.304124;0.152551;108.81;2313.803869;-12.021715
Ago-20;0.08;89.967233;0.232946;108.81;2564.082187;-10.035696
sept-20;0.08;90.183509;0.087307;108.81;2533.141062;-7.686663
Oct-20;0.09;90.129255;0.197487;109.81;2594.272118;-5.817703
Nov-20;0.09;91.030386;0.184937;109.81;2755.220333;0.422601
Dic-20;0.095;90.759667;0.089352;109.81;2265.155256;6.700643
Ene-21;0.04;92.231351;0.136249;109.37;1754.326293;-1.397047
Feb-21;0.043;91.947639;0.135905;109.37;1692.558489;-1.016793
Mar-21;0.046;92.931563;0.198931;109.37;1992.65093;23.34936
Abr-21;0.045;92.604079;0.147002;109.9;1686.79425;51.773308
May-21;0.046;92.95632;0.232552;109.9;2193.352683;44.62811
Jun-21;0.04;93.78861;0.38021;109.9;2485.557025;28.705923
Jul-21;0.04;95.519414;0.394228;108.07;2636.129916;17.416849
Ago-21;0.036;97.143287;0.499347;108.07;2765.447703;12.797854
sept-21;0.03;97.719405;0.380302;108.07;2765.552742;12.816566
Oct-21;0.0255;98.603067;0.473252;106.53;2567.477608;9.202388
Nov-21;0.03;99.092217;0.348838;106.53;2367.290127;1.644433
Dic-21;0.026;100;0.512404;106.53;2099.244211;0.660103
Ene-22;0.025;100.275835;0.271548;107.07;2149.669874;3.60112
Feb-22;0.028;100.718616;0.558324;107.07;1888.265399;1.888253
Mar-22;0.027;103.014431;0.588914;107.07;2067.170409;1.958038
Abr-22;0.025;104.626581;0.614814;;;
May-22;0.027;;;;;
Jun-22;;;;;;
Jul-22;;;;;;
Ago-22;;;;;;
sept-22;;;;;;
Oct-22;;;;;;
Nov-22;;;;;;
Dic-22;;;;;;