codmes;Venta_zona_1;Venta_zona_2;Venta_zona_3;Venta_total
ene-17;20;12;9;41
feb-17;14;17;12;43
mar-17;22;17;10;49
abr-17;22;17;16;55
may-17;20;18;14;52
jun-17;18;16;15;49
jul-17;27;12;9;48
ago-17;28;14;17;59
sept-17;27;16;18;61
oct-17;40;12;14;66
nov-17;26;18;19;63
dic-17;31;13;10;54
ene-18;38;19;14;71
feb-18;45;13;21;79
mar-18;54;20;18;92
abr-18;77;36;25;138
may-18;63;24;15;102
jun-18;52;20;22;94
jul-18;41;14;24;79
ago-18;78;28;26;132
sept-18;52;29;25;106
oct-18;53;21;22;96
nov-18;66;38;23;127
dic-18;57;29;16;102
ene-19;114;21;24;159
feb-19;72;38;16;126
mar-19;52;33;22;107
abr-19;90;41;34;165
may-19;66;34;43;143
jun-19;53;27;29;109
jul-19;55;24;32;111
ago-19;65;33;34;132
sept-19;66;34;29;129
oct-19;66;34;31;131
nov-19;68;35;23;126
dic-19;59;41;31;131
ene-20;50;50;21;121
feb-20;65;34;30;129
mar-20;29;19;8;56
abr-20;3;5;4;12
may-20;18;13;9;40
jun-20;41;26;24;91
jul-20;61;55;31;147
ago-20;72;45;38;155
sept-20;49;55;35;139
oct-20;62;55;33;150
nov-20;47;46;30;123
dic-20;66;54;34;154
ene-21;62;61;23;146
feb-21;54;60;14;128
mar-21;74;49;34;157
abr-21;48;38;13;99
may-21;57;50;25;132
jun-21;34;53;23;110
jul-21;46;61;34;141
ago-21;57;72;46;175
sept-21;72;65;30;167
oct-21;58;73;40;171
nov-21;68;90;30;188
dic-21;54;80;24;158
ene-22;67;64;25;156
feb-22;45;60;25;130
mar-22;65;68;33;166
abr-22;49;47;41;137
may-22;38;52;38;128