codmes,Oferta_zona_1,Oferta_zona_2,Oferta_zona_3,Oferta_total,Venta_zona_1,Venta_zona_2,Venta_zona_3,Venta_total
ene-17,182,251,231,664,8,9,9,26
feb-17,178,256,340,774,4,13,5,22
mar-17,223,259,327,809,9,14,13,36
abr-17,233,252,319,804,5,7,8,20
may-17,212,269,309,790,21,9,10,40
jun-17,249,256,291,796,10,9,13,32
jul-17,236,310,317,863,13,15,27,55
ago-17,255,294,306,855,14,17,16,47
sept-17,242,277,324,843,10,13,14,37
oct-17,224,302,409,935,12,19,13,44
nov-17,250,328,396,974,11,16,26,53
dic-17,239,310,379,928,14,19,16,49
ene-18,240,302,358,900,11,14,23,48
feb-18,214,329,361,904,8,20,17,45
mar-18,206,394,335,935,15,10,22,47
abr-18,208,413,307,928,17,20,25,62
may-18,197,501,287,985,14,28,23,65
jun-18,253,598,320,1171,8,22,19,49
jul-18,234,634,307,1175,9,19,21,49
ago-18,199,630,331,1160,26,32,23,81
sept-18,183,609,301,1093,18,21,33,72
oct-18,177,658,276,1111,15,36,22,73
nov-18,196,623,266,1085,11,26,15,52
dic-18,183,639,265,1087,11,20,13,44
ene-19,197,661,255,1113,10,22,11,43
feb-19,227,648,245,1120,7,14,14,35
mar-19,217,789,224,1230,7,28,14,49
abr-19,216,838,216,1270,19,23,24,66
may-19,201,834,233,1268,10,27,13,50
jun-19,186,820,368,1374,15,39,18,72
jul-19,241,800,354,1395,15,40,14,69
ago-19,253,823,339,1415,15,46,12,73
sept-19,280,951,364,1595,10,45,19,74
oct-19,294,1094,356,1744,6,37,6,49
nov-19,325,1138,347,1810,18,28,7,53
dic-19,314,1101,331,1746,15,35,13,63
ene-20,360,1308,316,1984,19,33,7,59
feb-20,347,1373,305,2025,12,45,8,65
mar-20,356,1407,355,2118,6,16,2,24
abr-20,330,1386,353,2069,4,10,1,15
may-20,322,1380,400,2102,,22,1,23
jun-20,338,1347,412,2097,8,33,8,49
jul-20,332,1405,409,2146,10,60,2,72
ago-20,307,1366,664,2337,20,50,19,89
sept-20,310,1614,636,2560,19,45,24,88
oct-20,309,1675,625,2609,12,61,15,88
nov-20,305,1679,612,2596,15,54,13,82
dic-20,294,1751,689,2734,13,56,17,86
ene-21,275,1795,642,2712,18,54,11,83
feb-21,323,2056,807,3186,12,65,13,90
mar-21,317,2240,842,3399,25,80,17,122
abr-21,360,2198,829,3387,18,49,11,78
may-21,375,2398,812,3585,3,38,21,62
jun-21,376,2514,796,3686,7,27,15,49
jul-21,364,2464,850,3678,6,43,18,67
ago-21,374,2449,967,3790,14,52,14,80
sept-21,368,2500,946,3814,6,71,19,96
oct-21,369,2452,953,3774,12,74,17,103
nov-21,353,2364,1075,3792,13,74,35,122
dic-21,345,2299,1042,3686,10,93,35,138
ene-22,330,2265,1014,3609,15,68,22,105
feb-22,307,2248,1332,3887,26,86,24,136
mar-22,288,2158,1289,3735,14,120,31,165
abr-22,278,2105,1299,3682,13,68,33,114