codmes;precio_oferta_zon1;precio_oferta_zon2;precio_oferta_zon3;precio_oferta_total;precio_venta_zon1;precio_venta_zon2;precio_venta_zon3;precio_venta_total;flg_feia
ene-17;10783.8;6858.5;6383.7;7769.2;9988.6;6713.3;6247.3;7559.8;0
feb-17;10849.9;6872.5;6582.3;7659.7;7705.2;6727.4;5948.4;6728.1;0
mar-17;10113.6;7084.4;6589.4;7719.3;10593.4;7136.1;6041.6;7605.2;0
abr-17;9823.3;7079.2;6580.7;7676.6;10607.4;6950;5950.9;7464.7;0
may-17;9935.6;6958.1;6600.9;7617.4;7990;6875.9;6135.1;7275.6;0
jun-17;9413.9;6937.9;6600.3;7589;8786.3;7023.7;5727.9;7048.1;0
jul-17;9370.5;6913.2;6721.6;7514.8;9078;6513.5;6343.2;7036.1;0
ago-17;9285.3;6922.7;6739;7561.6;7812.3;6708.1;6244.4;6879.2;0
sept-17;9270.4;6907.5;6775.4;7535.1;8924.5;7063.2;6289.9;7273.7;0
oct-17;9413.9;6933.1;6931.1;7526.5;8104.6;6498.5;6237.4;6859.4;0
nov-17;9355.8;6894.6;6959.8;7552.8;7360.3;6266.8;6691.2;6701.9;0
dic-17;9329.1;6915.3;6965.4;7557.4;8978.5;6618.5;6571.7;7277.5;0
ene-18;9242.7;6905.1;6982.1;7559.1;9811.3;6511.3;6331.9;7181.6;0
feb-18;9461.7;6978.4;6995.7;7573.2;7539.2;6609.3;6444.4;6712.3;0
mar-18;9505.1;7531.2;7011.5;7779.9;7853.6;7177.2;6435.6;7045.9;0
abr-18;9548;7585.3;7018.6;7837.7;8112.6;6926.9;6495.6;7078.1;1
may-18;9591.8;7606.7;7064.8;7845.8;7673.2;7203.5;6543.6;7071.2;0
jun-18;9470;8008.4;7392;8155.7;7770.7;7023.1;6827.3;7069.2;1
jul-18;9446;7753.4;7104.9;7921.1;9967.1;7055.9;6854.7;7504.4;0
ago-18;9565.5;7706.2;7071.2;7844;7950.9;7408.1;6760.3;7398.4;1
sept-18;9640.2;7769.3;7120.6;7903.9;8307.9;7652;6773.9;7413.5;0
oct-18;9759.4;7625.2;7102;7835.2;8024.2;7755.9;7079.9;7607.3;0
nov-18;9760.7;7751.3;7154.7;7968;8654.2;7400.5;6921.7;7527.6;1
dic-18;9833.9;7808.9;7148.5;7988.8;8518.8;7167.9;6749.3;7381.9;0
ene-19;9907;7803.3;7136.9;8023;8221.5;7218.6;6863.9;7361.1;0
feb-19;9694.1;7775.3;7239.5;8047;8672.6;7257.6;7103;7478.8;0
mar-19;9751.6;7887.4;7229.3;8096.5;7852.8;7096.7;6692.9;7089.3;0
abr-19;9701.2;8005.2;7322.7;8177.6;8280.4;7671.5;6821.7;7537.8;1
may-19;9783;8028.6;7327.2;8177.8;8609.3;7719.1;6628.5;7613.6;0
jun-19;9819.9;7904.6;7582;8077.5;8621.2;7374.4;6566.5;7432.2;1
jul-19;10232.9;7950.8;7598.4;8255.6;7998.2;7522.7;6993.7;7518.7;0
ago-19;10210.9;8106.2;7676.7;8379.6;9129.6;8293.6;6744.2;8210.7;0
sept-19;10144.8;8101.2;7718.5;8372.6;8449.2;7458;7097.3;7499.3;1
oct-19;10035.7;8122.3;7716.3;8362;8049;7636.6;6858.7;7591.8;0
nov-19;10108.2;8229.7;7747.6;8474.5;9086.1;8011.4;6700.8;8203.3;1
dic-19;10041.9;8156.8;7763.6;8421.3;8742;7766.1;6820.6;7803.4;0
ene-20;10148.4;8261.3;7784.7;8527.8;8970.5;7808.6;7229.5;8114.1;0
feb-20;10219.1;8406.7;7809;8627.2;9049.7;8049.4;7400.6;8154.2;0
mar-20;10159.5;8433;7747.6;8608.3;10415.1;7567.5;7748;8294.4;0
abr-20;10054.5;8355.6;7680.1;8511.3;8049.8;7815.8;6539.9;7793.2;0
may-20;10181.9;8477.5;7805.1;8610.7;9132;7283.3;7677;7300.4;1
jun-20;10300.7;8593.2;7877;8727.7;10214.2;7861.4;7511.9;8188.5;0
jul-20;10263.9;8617.9;7872.5;8730.5;9806.8;7016.7;7842.2;7427.2;1
ago-20;10375.7;8645;7917.8;8665.7;9238.5;8197.4;7184.8;8215.2;0
sept-20;10387.1;8703.5;7948.9;8719.9;9345.2;7893.9;7408.8;8075;1
oct-20;10415.3;8808.1;7999.6;8804.8;9501.1;8240.2;7284;8249.2;0
nov-20;10326.4;8816.6;7994.3;8800.1;9340;8279.9;7449.3;8342.1;1
dic-20;10362.7;8864.2;8129.1;8840.1;9492.4;8165.2;7321.4;8199;0
ene-21;10434.1;8810.9;8232;8838.5;9544.2;8284.8;7571.3;8463.4;0
feb-21;10684.6;8956.9;8247.3;8952.3;8892.6;8233.9;7707.9;8245.7;0
mar-21;10946.1;9140.8;8324.5;9107;10092.3;8369.1;8004.7;8671.5;1
abr-21;11016.7;9208.9;8346.5;9190;10288.3;8594.8;7718.2;8862;0
may-21;10957.5;9118.8;8366.3;9140.7;9482.5;8270.4;7331.8;8011.2;0
jun-21;11193.8;9319.7;8411.3;9314.7;11391;8420.2;7461.2;8551;0
jul-21;11469.1;9470;8536.9;9452.2;10262.7;8499.1;7754.3;8457;1
ago-21;11254.6;9399.5;8437.7;9337.2;9429.9;8359.1;7762.9;8442.1;0
sept-21;11300.8;9422.2;8471.8;9367.8;10665.5;8447.8;7657.3;8429.9;1
oct-21;11106.3;9328.8;8433.9;9276.6;9602.4;8084.5;7687.9;8195.9;0
nov-21;11163.3;9410.4;8548.1;9329.1;10577.4;8170.7;8136.4;8417.3;0
dic-21;11072.6;9343.9;8527.3;9274.9;10399.2;8202.1;7975.1;8303.7;1
ene-22;10797.5;9205.8;8555.1;9168.5;9475.5;8110.5;8097.4;8302.8;0
feb-22;10653.9;9141.4;8345;8988;10481;8256.7;7981.3;8633.3;0
mar-22;10619.5;9159.1;8386.1;9004.9;9723.5;8333;7824.1;8355.4;1
abr-22;10876.3;9285.3;8427.6;9102.8;9945.6;8443;8233;8553.5;0
may-22;;;;;;;;;